year,salary_cap,salary_floor,max_salary,supermax_salary,rookie_min_0_2_yrs,veteran_min_3plus_yrs,rookie_1_4_pick_yr1,rookie_5_8_pick_yr1,rookie_9_12_pick_yr1,annual_increase_pct
2020,1324200,1140514,215000,221450,57000,68000,69337,66476,63614,0
2021,1339066,1149866,221450,228094,58710,70040,71417,68475,65533,3
2022,1379237,1184362,228094,234936,60471,72141,73559,70549,67499,3
2023,1421014,1219893,234936,241984,62285,74305,75766,72666,69566,3
2024,1463200,1256500,241984,249244,64154,76535,78039,74846,71653,3
2025,1507100,1261440,249244,256822,66079,78831,80380,77091,73803,3
2026,1552300,1299283,256822,264527,68061,81196,82791,79404,76017,3
