team_name,city,first_season,expansion_fee_M,total_investment_M,owner,nba_affiliation,arena,arena_capacity,city_population_M,metro_population_M,median_income_K,notes
Golden State Valkyries,San Francisco,2025,50,100,Joe Lacob/Peter Guber,Warriors,Chase Center,18000,0.87,4.7,120,First expansion since 2008; 10K+ season tickets sold
Toronto Tempo,Toronto,2026,50,115,Larry Tanenbaum (Kilmer Sports),Raptors (25%),Scotiabank Arena,19800,2.9,6.2,60,First international WNBA team
Portland TBD,Portland,2026,75,125,Lisa & Alex Bhathal,Kings (LP),Moda Center,19393,0.65,2.5,75,Return to Portland (Fire 2000-2002)
Cleveland TBD,Cleveland,2028,250,TBD,Dan Gilbert,Cavaliers,Rocket Arena,19500,0.37,2.0,35,Return (Rockers 1997-2003); Gilbert worth $32B
Detroit TBD,Detroit,2029,250,TBD,Tom Gores,Pistons,Little Caesars Arena,20000,0.64,4.3,32,Return (Shock 1998-2009; 3x champions)
Philadelphia TBD,Philadelphia,2030,250,TBD,HBSE (Josh Harris),76ers,Wells Fargo Center,21000,1.6,6.2,50,Major market; strong sports culture
